window_name,window_hours,MAE,RMSE
day,24,0.5916599952872901,4.398419998043843
week,168,0.7706420789297906,4.866593632892486
month,720,0.8674548494434295,5.1448698611571375
year,8736,0.9375766884117188,5.257852471959717
