window_name,window_hours,MAE,RMSE
day,24,1.5305317536545064,7.31199549893521
week,168,2.320163929730576,8.81850592554416
month,720,2.8296791379971338,9.620652434242283
year,8736,3.6090992430991315,9.926703952079416
