code,date,hour,wind,wind_max,temperature,rain_duration,rain,fog,snow,thunder,ice
209,20230301,1,50,60,,,,,,,
209,20230301,2,50,60,,,,,,,
209,20230301,3,50,60,,,,,,,
209,20230301,4,40,50,,,,,,,
209,20230301,5,30,40,,,,,,,
209,20230301,6,30,50,,,,,,,
209,20230301,7,20,30,,,,,,,
209,20230301,8,30,40,,,,,,,
209,20230301,9,30,40,,,,,,,
209,20230301,10,30,50,,,,,,,
209,20230301,11,30,50,,,,,,,
209,20230301,12,50,70,,,,,,,
209,20230301,13,60,90,,,,,,,
209,20230301,14,70,100,,,,,,,
209,20230301,15,80,100,,,,,,,
209,20230301,16,80,110,,,,,,,
209,20230301,17,70,100,,,,,,,
209,20230301,18,60,90,,,,,,,
209,20230301,19,60,90,,,,,,,
209,20230301,20,60,100,,,,,,,
209,20230301,21,70,100,,,,,,,
209,20230301,22,70,90,,,,,,,
209,20230301,23,70,90,,,,,,,
209,20230301,24,80,100,,,,,,,
209,20230302,1,80,110,,,,,,,
209,20230302,2,80,110,,,,,,,
209,20230302,3,80,100,,,,,,,
209,20230302,4,80,110,,,,,,,
209,20230302,5,90,110,,,,,,,
209,20230302,6,80,100,,,,,,,
209,20230302,7,80,110,,,,,,,
209,20230302,8,80,100,,,,,,,
209,20230302,9,80,100,,,,,,,
209,20230302,10,70,90,,,,,,,
209,20230302,11,70,100,,,,,,,
209,20230302,12,70,90,,,,,,,
209,20230302,13,60,90,,,,,,,
209,20230302,14,60,80,,,,,,,
209,20230302,15,60,80,,,,,,,
209,20230302,16,70,90,,,,,,,
209,20230302,17,70,90,,,,,,,
209,20230302,18,80,90,,,,,,,
209,20230302,19,70,90,,,,,,,
209,20230302,20,70,80,,,,,,,
209,20230302,21,60,80,,,,,,,
209,20230302,22,60,80,,,,,,,
209,20230302,23,70,90,,,,,,,
209,20230302,24,70,90,,,,,,,
209,20230303,1,70,90,,,,,,,
209,20230303,2,70,90,,,,,,,
209,20230303,3,70,90,,,,,,,
209,20230303,4,70,90,,,,,,,
209,20230303,5,70,90,,,,,,,
209,20230303,6,60,70,,,,,,,
209,20230303,7,50,70,,,,,,,
209,20230303,8,50,60,,,,,,,
209,20230303,9,50,60,,,,,,,
209,20230303,10,50,70,,,,,,,
209,20230303,11,50,70,,,,,,,
209,20230303,12,60,70,,,,,,,
209,20230303,13,50,80,,,,,,,
209,20230303,14,60,70,,,,,,,
209,20230303,15,50,60,,,,,,,
209,20230303,16,60,90,,,,,,,
209,20230303,17,60,90,,,,,,,
209,20230303,18,60,90,,,,,,,
209,20230303,19,70,100,,,,,,,
209,20230303,20,80,110,,,,,,,
209,20230303,21,70,100,,,,,,,
209,20230303,22,70,100,,,,,,,
209,20230303,23,70,100,,,,,,,
209,20230303,24,70,100,,,,,,,
209,20230304,1,70,110,,,,,,,
209,20230304,2,70,110,,,,,,,
209,20230304,3,80,120,,,,,,,
209,20230304,4,80,100,,,,,,,
209,20230304,5,80,110,,,,,,,
209,20230304,6,80,110,,,,,,,
209,20230304,7,60,90,,,,,,,
209,20230304,8,70,100,,,,,,,
209,20230304,9,70,100,,,,,,,
209,20230304,10,70,100,,,,,,,
209,20230304,11,80,110,,,,,,,
209,20230304,12,70,90,,,,,,,
209,20230304,13,70,100,,,,,,,
209,20230304,14,70,100,,,,,,,
209,20230304,15,70,100,,,,,,,
209,20230304,16,70,90,,,,,,,
209,20230304,17,70,100,,,,,,,
209,20230304,18,70,100,,,,,,,
209,20230304,19,70,110,,,,,,,
209,20230304,20,60,90,,,,,,,
209,20230304,21,70,90,,,,,,,
209,20230304,22,70,110,,,,,,,
209,20230304,23,60,80,,,,,,,
209,20230304,24,40,80,,,,,,,
209,20230305,1,50,90,,,,,,,
209,20230305,2,50,80,,,,,,,
209,20230305,3,60,100,,,,,,,
209,20230305,4,60,100,,,,,,,
209,20230305,5,50,80,,,,,,,
209,20230305,6,70,110,,,,,,,
209,20230305,7,50,90,,,,,,,
209,20230305,8,40,80,,,,,,,
209,20230305,9,60,90,,,,,,,
209,20230305,10,50,60,,,,,,,
209,20230305,11,50,60,,,,,,,
209,20230305,12,40,50,,,,,,,
209,20230305,13,30,40,,,,,,,
209,20230305,14,30,50,,,,,,,
209,20230305,15,30,50,,,,,,,
209,20230305,16,50,70,,,,,,,
209,20230305,17,20,40,,,,,,,
209,20230305,18,30,40,,,,,,,
209,20230305,19,40,60,,,,,,,
209,20230305,20,40,60,,,,,,,
209,20230305,21,10,50,,,,,,,
209,20230305,22,10,30,,,,,,,
209,20230305,23,60,100,,,,,,,
209,20230305,24,40,60,,,,,,,
209,20230306,1,50,70,,,,,,,
209,20230306,2,50,90,,,,,,,
209,20230306,3,80,130,,,,,,,
209,20230306,4,70,110,,,,,,,
209,20230306,5,70,90,,,,,,,
209,20230306,6,50,80,,,,,,,
209,20230306,7,40,60,,,,,,,
209,20230306,8,30,30,,,,,,,
209,20230306,9,20,30,,,,,,,
209,20230306,10,20,40,,,,,,,
209,20230306,11,40,70,,,,,,,
209,20230306,12,50,70,,,,,,,
209,20230306,13,70,90,,,,,,,
209,20230306,14,90,140,,,,,,,
209,20230306,15,120,160,,,,,,,
209,20230306,16,130,170,,,,,,,
209,20230306,17,150,180,,,,,,,
209,20230306,18,140,170,,,,,,,
209,20230306,19,100,150,,,,,,,
209,20230306,20,100,140,,,,,,,
209,20230306,21,100,140,,,,,,,
209,20230306,22,100,130,,,,,,,
209,20230306,23,90,120,,,,,,,
209,20230306,24,100,160,,,,,,,
209,20230307,1,100,120,,,,,,,
209,20230307,2,100,120,,,,,,,
209,20230307,3,100,130,,,,,,,
209,20230307,4,100,140,,,,,,,
209,20230307,5,100,170,,,,,,,
209,20230307,6,90,130,,,,,,,
209,20230307,7,80,120,,,,,,,
209,20230307,8,70,120,,,,,,,
209,20230307,9,80,110,,,,,,,
209,20230307,10,50,80,,,,,,,
209,20230307,11,50,120,,,,,,,
209,20230307,12,50,70,,,,,,,
209,20230307,13,60,110,,,,,,,
209,20230307,14,60,90,,,,,,,
209,20230307,15,80,100,,,,,,,
209,20230307,16,90,130,,,,,,,
209,20230307,17,80,120,,,,,,,
209,20230307,18,80,110,,,,,,,
209,20230307,19,90,120,,,,,,,
209,20230307,20,80,110,,,,,,,
209,20230307,21,70,100,,,,,,,
209,20230307,22,60,110,,,,,,,
209,20230307,23,40,70,,,,,,,
209,20230307,24,60,80,,,,,,,
209,20230308,1,40,80,,,,,,,
209,20230308,2,40,60,,,,,,,
209,20230308,3,30,50,,,,,,,
209,20230308,4,40,50,,,,,,,
209,20230308,5,30,40,,,,,,,
209,20230308,6,40,50,,,,,,,
209,20230308,7,40,50,,,,,,,
209,20230308,8,40,60,,,,,,,
209,20230308,9,60,80,,,,,,,
209,20230308,10,60,80,,,,,,,
209,20230308,11,80,110,,,,,,,
209,20230308,12,80,100,,,,,,,
209,20230308,13,70,100,,,,,,,
209,20230308,14,70,100,,,,,,,
209,20230308,15,70,100,,,,,,,
209,20230308,16,70,100,,,,,,,
209,20230308,17,70,90,,,,,,,
209,20230308,18,70,100,,,,,,,
209,20230308,19,70,100,,,,,,,
209,20230308,20,80,100,,,,,,,
209,20230308,21,80,110,,,,,,,
209,20230308,22,80,110,,,,,,,
209,20230308,23,80,100,,,,,,,
209,20230308,24,80,110,,,,,,,
209,20230309,1,80,110,,,,,,,
209,20230309,2,70,110,,,,,,,
209,20230309,3,70,90,,,,,,,
209,20230309,4,70,100,,,,,,,
209,20230309,5,60,80,,,,,,,
209,20230309,6,60,80,,,,,,,
209,20230309,7,50,70,,,,,,,
209,20230309,8,40,60,,,,,,,
209,20230309,9,40,70,,,,,,,
209,20230309,10,40,60,,,,,,,
209,20230309,11,50,70,,,,,,,
209,20230309,12,50,70,,,,,,,
209,20230309,13,50,70,,,,,,,
209,20230309,14,50,70,,,,,,,
209,20230309,15,60,90,,,,,,,
209,20230309,16,60,80,,,,,,,
209,20230309,17,70,100,,,,,,,
209,20230309,18,100,130,,,,,,,
209,20230309,19,100,120,,,,,,,
209,20230309,20,120,160,,,,,,,
209,20230309,21,120,160,,,,,,,
209,20230309,22,120,150,,,,,,,
209,20230309,23,120,150,,,,,,,
209,20230309,24,120,150,,,,,,,
209,20230310,1,100,140,,,,,,,
209,20230310,2,90,120,,,,,,,
209,20230310,3,100,120,,,,,,,
209,20230310,4,100,130,,,,,,,
209,20230310,5,110,140,,,,,,,
209,20230310,6,110,160,,,,,,,
209,20230310,7,100,130,,,,,,,
209,20230310,8,100,130,,,,,,,
209,20230310,9,110,140,,,,,,,
209,20230310,10,110,150,,,,,,,
209,20230310,11,120,160,,,,,,,
209,20230310,12,130,160,,,,,,,
209,20230310,13,140,180,,,,,,,
209,20230310,14,170,220,,,,,,,
209,20230310,15,170,240,,,,,,,
209,20230310,16,160,220,,,,,,,
209,20230310,17,140,190,,,,,,,
209,20230310,18,150,200,,,,,,,
209,20230310,19,150,190,,,,,,,
209,20230310,20,140,180,,,,,,,
209,20230310,21,130,160,,,,,,,
209,20230310,22,120,160,,,,,,,
209,20230310,23,110,140,,,,,,,
209,20230310,24,100,130,,,,,,,
209,20230311,1,90,120,,,,,,,
209,20230311,2,80,110,,,,,,,
209,20230311,3,80,100,,,,,,,
209,20230311,4,70,100,,,,,,,
209,20230311,5,50,80,,,,,,,
209,20230311,6,40,70,,,,,,,
209,20230311,7,40,60,,,,,,,
209,20230311,8,30,50,,,,,,,
209,20230311,9,20,40,,,,,,,
209,20230311,10,20,30,,,,,,,
209,20230311,11,30,50,,,,,,,
209,20230311,12,40,60,,,,,,,
209,20230311,13,50,70,,,,,,,
209,20230311,14,60,70,,,,,,,
209,20230311,15,60,70,,,,,,,
209,20230311,16,50,70,,,,,,,
209,20230311,17,30,60,,,,,,,
209,20230311,18,20,40,,,,,,,
209,20230311,19,10,40,,,,,,,
209,20230311,20,10,20,,,,,,,
209,20230311,21,30,40,,,,,,,
209,20230311,22,40,50,,,,,,,
209,20230311,23,40,50,,,,,,,
209,20230311,24,40,50,,,,,,,
209,20230312,1,50,60,,,,,,,
209,20230312,2,60,90,,,,,,,
209,20230312,3,60,80,,,,,,,
209,20230312,4,80,100,,,,,,,
209,20230312,5,80,110,,,,,,,
209,20230312,6,100,120,,,,,,,
209,20230312,7,90,110,,,,,,,
209,20230312,8,90,110,,,,,,,
209,20230312,9,90,110,,,,,,,
209,20230312,10,90,110,,,,,,,
209,20230312,11,80,100,,,,,,,
209,20230312,12,80,110,,,,,,,
209,20230312,13,90,120,,,,,,,
209,20230312,14,100,120,,,,,,,
209,20230312,15,100,120,,,,,,,
209,20230312,16,90,110,,,,,,,
209,20230312,17,100,140,,,,,,,
209,20230312,18,120,150,,,,,,,
209,20230312,19,110,140,,,,,,,
209,20230312,20,120,150,,,,,,,
209,20230312,21,120,160,,,,,,,
209,20230312,22,90,120,,,,,,,
209,20230312,23,100,120,,,,,,,
209,20230312,24,100,120,,,,,,,
209,20230313,1,110,150,,,,,,,
209,20230313,2,130,180,,,,,,,
209,20230313,3,150,200,,,,,,,
209,20230313,4,150,190,,,,,,,
209,20230313,5,160,190,,,,,,,
209,20230313,6,160,200,,,,,,,
209,20230313,7,170,210,,,,,,,
209,20230313,8,160,210,,,,,,,
209,20230313,9,170,210,,,,,,,
209,20230313,10,170,210,,,,,,,
209,20230313,11,170,220,,,,,,,
209,20230313,12,170,220,,,,,,,
209,20230313,13,180,240,,,,,,,
209,20230313,14,170,220,,,,,,,
209,20230313,15,180,230,,,,,,,
209,20230313,16,170,220,,,,,,,
209,20230313,17,160,230,,,,,,,
209,20230313,18,120,160,,,,,,,
209,20230313,19,120,150,,,,,,,
209,20230313,20,120,150,,,,,,,
209,20230313,21,110,140,,,,,,,
209,20230313,22,100,130,,,,,,,
209,20230313,23,110,160,,,,,,,
209,20230313,24,130,160,,,,,,,
209,20230314,1,120,160,,,,,,,
209,20230314,2,120,150,,,,,,,
209,20230314,3,120,150,,,,,,,
209,20230314,4,130,170,,,,,,,
209,20230314,5,120,160,,,,,,,
209,20230314,6,90,150,,,,,,,
209,20230314,7,100,150,,,,,,,
209,20230314,8,120,160,,,,,,,
209,20230314,9,110,170,,,,,,,
209,20230314,10,130,170,,,,,,,
209,20230314,11,120,150,,,,,,,
209,20230314,12,110,140,,,,,,,
209,20230314,13,110,140,,,,,,,
209,20230314,14,110,130,,,,,,,
209,20230314,15,100,120,,,,,,,
209,20230314,16,110,130,,,,,,,
209,20230314,17,100,140,,,,,,,
209,20230314,18,100,130,,,,,,,
209,20230314,19,100,140,,,,,,,
209,20230314,20,100,140,,,,,,,
209,20230314,21,100,190,,,,,,,
209,20230314,22,110,170,,,,,,,
