code,date,hour,wind,wind_max,temperature,rain_duration,rain,fog,snow,thunder,ice
209,20241001,1,130,160,,,,,,,
209,20241001,2,130,160,,,,,,,
209,20241001,3,120,150,,,,,,,
209,20241001,4,100,140,,,,,,,
209,20241001,5,80,110,,,,,,,
209,20241001,6,90,120,,,,,,,
209,20241001,7,100,140,,,,,,,
209,20241001,8,100,120,,,,,,,
209,20241001,9,100,130,,,,,,,
209,20241001,10,100,130,,,,,,,
209,20241001,11,110,130,,,,,,,
209,20241001,12,120,140,,,,,,,
209,20241001,13,120,150,,,,,,,
209,20241001,14,110,140,,,,,,,
209,20241001,15,110,150,,,,,,,
209,20241001,16,100,130,,,,,,,
209,20241001,17,70,110,,,,,,,
209,20241001,18,60,80,,,,,,,
209,20241001,19,50,70,,,,,,,
209,20241001,20,40,60,,,,,,,
209,20241001,21,40,60,,,,,,,
209,20241001,22,30,50,,,,,,,
209,20241001,23,30,40,,,,,,,
209,20241001,24,30,40,,,,,,,
209,20241002,1,20,30,,,,,,,
209,20241002,2,20,30,,,,,,,
209,20241002,3,30,40,,,,,,,
209,20241002,4,50,110,,,,,,,
209,20241002,5,90,130,,,,,,,
209,20241002,6,90,110,,,,,,,
209,20241002,7,90,120,,,,,,,
209,20241002,8,80,110,,,,,,,
209,20241002,9,80,110,,,,,,,
209,20241002,10,80,120,,,,,,,
209,20241002,11,80,110,,,,,,,
209,20241002,12,90,110,,,,,,,
209,20241002,13,100,130,,,,,,,
209,20241002,14,90,120,,,,,,,
209,20241002,15,100,130,,,,,,,
209,20241002,16,110,150,,,,,,,
209,20241002,17,100,140,,,,,,,
209,20241002,18,90,110,,,,,,,
209,20241002,19,70,100,,,,,,,
209,20241002,20,80,110,,,,,,,
209,20241002,21,80,110,,,,,,,
209,20241002,22,70,110,,,,,,,
209,20241002,23,60,80,,,,,,,
209,20241002,24,70,80,,,,,,,
209,20241003,1,60,80,,,,,,,
209,20241003,2,60,80,,,,,,,
209,20241003,3,60,80,,,,,,,
209,20241003,4,50,70,,,,,,,
209,20241003,5,50,60,,,,,,,
209,20241003,6,50,70,,,,,,,
209,20241003,7,50,60,,,,,,,
209,20241003,8,50,60,,,,,,,
209,20241003,9,60,80,,,,,,,
209,20241003,10,60,100,,,,,,,
209,20241003,11,70,100,,,,,,,
209,20241003,12,80,100,,,,,,,
209,20241003,13,70,110,,,,,,,
209,20241003,14,80,120,,,,,,,
209,20241003,15,70,90,,,,,,,
209,20241003,16,70,90,,,,,,,
209,20241003,17,70,100,,,,,,,
209,20241003,18,60,80,,,,,,,
209,20241003,19,60,80,,,,,,,
209,20241003,20,60,80,,,,,,,
209,20241003,21,60,70,,,,,,,
209,20241003,22,50,70,,,,,,,
209,20241003,23,50,60,,,,,,,
209,20241003,24,50,60,,,,,,,
209,20241004,1,40,60,,,,,,,
209,20241004,2,50,60,,,,,,,
209,20241004,3,40,60,,,,,,,
209,20241004,4,40,50,,,,,,,
209,20241004,5,30,40,,,,,,,
209,20241004,6,30,40,,,,,,,
209,20241004,7,30,40,,,,,,,
209,20241004,8,30,40,,,,,,,
209,20241004,9,30,40,,,,,,,
209,20241004,10,30,50,,,,,,,
209,20241004,11,30,50,,,,,,,
209,20241004,12,30,60,,,,,,,
209,20241004,13,30,50,,,,,,,
209,20241004,14,20,40,,,,,,,
209,20241004,15,20,40,,,,,,,
209,20241004,16,30,40,,,,,,,
209,20241004,17,40,60,,,,,,,
209,20241004,18,50,60,,,,,,,
209,20241004,19,40,50,,,,,,,
209,20241004,20,40,50,,,,,,,
209,20241004,21,40,50,,,,,,,
209,20241004,22,40,50,,,,,,,
209,20241004,23,40,50,,,,,,,
209,20241004,24,30,40,,,,,,,
209,20241005,1,30,40,,,,,,,
209,20241005,2,40,50,,,,,,,
209,20241005,3,40,50,,,,,,,
209,20241005,4,40,50,,,,,,,
209,20241005,5,30,40,,,,,,,
209,20241005,6,30,40,,,,,,,
209,20241005,7,40,50,,,,,,,
209,20241005,8,40,60,,,,,,,
209,20241005,9,40,50,,,,,,,
209,20241005,10,40,50,,,,,,,
209,20241005,11,40,60,,,,,,,
209,20241005,12,40,60,,,,,,,
209,20241005,13,30,60,,,,,,,
209,20241005,14,40,70,,,,,,,
209,20241005,15,50,70,,,,,,,
209,20241005,16,40,60,,,,,,,
209,20241005,17,40,60,,,,,,,
209,20241005,18,40,60,,,,,,,
209,20241005,19,50,70,,,,,,,
209,20241005,20,50,60,,,,,,,
209,20241005,21,40,60,,,,,,,
209,20241005,22,50,70,,,,,,,
209,20241005,23,60,80,,,,,,,
209,20241005,24,60,80,,,,,,,
209,20241006,1,60,80,,,,,,,
209,20241006,2,70,80,,,,,,,
209,20241006,3,70,90,,,,,,,
209,20241006,4,80,90,,,,,,,
209,20241006,5,80,100,,,,,,,
209,20241006,6,70,100,,,,,,,
209,20241006,7,70,100,,,,,,,
209,20241006,8,70,90,,,,,,,
209,20241006,9,70,90,,,,,,,
209,20241006,10,70,100,,,,,,,
209,20241006,11,80,100,,,,,,,
209,20241006,12,80,110,,,,,,,
209,20241006,13,90,130,,,,,,,
209,20241006,14,90,120,,,,,,,
209,20241006,15,90,120,,,,,,,
209,20241006,16,90,120,,,,,,,
209,20241006,17,80,110,,,,,,,
209,20241006,18,70,90,,,,,,,
209,20241006,19,70,90,,,,,,,
209,20241006,20,80,100,,,,,,,
209,20241006,21,80,110,,,,,,,
209,20241006,22,80,110,,,,,,,
209,20241006,23,90,110,,,,,,,
209,20241006,24,80,100,,,,,,,
209,20241007,1,80,110,,,,,,,
209,20241007,2,90,110,,,,,,,
209,20241007,3,90,110,,,,,,,
209,20241007,4,100,150,,,,,,,
209,20241007,5,130,160,,,,,,,
209,20241007,6,110,160,,,,,,,
209,20241007,7,110,140,,,,,,,
209,20241007,8,110,140,,,,,,,
209,20241007,9,90,120,,,,,,,
209,20241007,10,100,130,,,,,,,
209,20241007,11,100,130,,,,,,,
209,20241007,12,90,120,,,,,,,
209,20241007,13,100,120,,,,,,,
209,20241007,14,70,90,,,,,,,
209,20241007,15,50,80,,,,,,,
209,20241007,16,30,40,,,,,,,
209,20241007,17,30,40,,,,,,,
209,20241007,18,40,60,,,,,,,
209,20241007,19,40,60,,,,,,,
209,20241007,20,40,60,,,,,,,
209,20241007,21,50,60,,,,,,,
209,20241007,22,50,60,,,,,,,
209,20241007,23,50,90,,,,,,,
209,20241007,24,60,80,,,,,,,
209,20241008,1,60,100,,,,,,,
209,20241008,2,70,100,,,,,,,
209,20241008,3,60,80,,,,,,,
209,20241008,4,70,100,,,,,,,
209,20241008,5,80,100,,,,,,,
209,20241008,6,110,130,,,,,,,
209,20241008,7,110,130,,,,,,,
209,20241008,8,110,130,,,,,,,
209,20241008,9,110,130,,,,,,,
209,20241008,10,100,120,,,,,,,
209,20241008,11,80,110,,,,,,,
209,20241008,12,90,110,,,,,,,
209,20241008,13,80,100,,,,,,,
209,20241008,14,70,100,,,,,,,
209,20241008,15,70,90,,,,,,,
209,20241008,16,60,70,,,,,,,
209,20241008,17,60,70,,,,,,,
209,20241008,18,50,60,,,,,,,
209,20241008,19,50,70,,,,,,,
209,20241008,20,60,80,,,,,,,
209,20241008,21,70,90,,,,,,,
209,20241008,22,70,90,,,,,,,
209,20241008,23,70,90,,,,,,,
209,20241008,24,70,90,,,,,,,
209,20241009,1,70,90,,,,,,,
209,20241009,2,70,90,,,,,,,
209,20241009,3,80,110,,,,,,,
209,20241009,4,100,120,,,,,,,
209,20241009,5,100,130,,,,,,,
209,20241009,6,90,120,,,,,,,
209,20241009,7,90,110,,,,,,,
209,20241009,8,90,110,,,,,,,
209,20241009,9,90,120,,,,,,,
209,20241009,10,100,120,,,,,,,
209,20241009,11,100,140,,,,,,,
209,20241009,12,90,110,,,,,,,
209,20241009,13,80,110,,,,,,,
209,20241009,14,70,100,,,,,,,
209,20241009,15,60,90,,,,,,,
209,20241009,16,50,70,,,,,,,
209,20241009,17,40,60,,,,,,,
209,20241009,18,40,50,,,,,,,
209,20241009,19,30,40,,,,,,,
209,20241009,20,30,30,,,,,,,
209,20241009,21,20,30,,,,,,,
209,20241009,22,20,40,,,,,,,
209,20241009,23,40,70,,,,,,,
209,20241009,24,60,70,,,,,,,
209,20241010,1,70,90,,,,,,,
209,20241010,2,70,100,,,,,,,
209,20241010,3,130,180,,,,,,,
209,20241010,4,150,190,,,,,,,
209,20241010,5,140,180,,,,,,,
209,20241010,6,130,170,,,,,,,
209,20241010,7,130,170,,,,,,,
209,20241010,8,130,170,,,,,,,
209,20241010,9,120,160,,,,,,,
209,20241010,10,110,130,,,,,,,
209,20241010,11,100,140,,,,,,,
209,20241010,12,90,130,,,,,,,
209,20241010,13,90,150,,,,,,,
209,20241010,14,90,110,,,,,,,
209,20241010,15,90,130,,,,,,,
209,20241010,16,80,110,,,,,,,
209,20241010,17,80,110,,,,,,,
209,20241010,18,70,120,,,,,,,
209,20241010,19,70,110,,,,,,,
209,20241010,20,90,150,,,,,,,
209,20241010,21,70,100,,,,,,,
209,20241010,22,90,130,,,,,,,
209,20241010,23,80,110,,,,,,,
209,20241010,24,80,120,,,,,,,
209,20241011,1,80,110,,,,,,,
209,20241011,2,70,100,,,,,,,
209,20241011,3,70,100,,,,,,,
209,20241011,4,60,110,,,,,,,
209,20241011,5,60,90,,,,,,,
209,20241011,6,50,100,,,,,,,
209,20241011,7,30,120,,,,,,,
209,20241011,8,60,120,,,,,,,
209,20241011,9,40,90,,,,,,,
209,20241011,10,60,90,,,,,,,
209,20241011,11,60,80,,,,,,,
209,20241011,12,60,80,,,,,,,
209,20241011,13,60,80,,,,,,,
209,20241011,14,60,80,,,,,,,
209,20241011,15,60,80,,,,,,,
209,20241011,16,50,80,,,,,,,
209,20241011,17,50,70,,,,,,,
209,20241011,18,30,50,,,,,,,
209,20241011,19,30,60,,,,,,,
209,20241011,20,50,60,,,,,,,
209,20241011,21,60,70,,,,,,,
209,20241011,22,50,60,,,,,,,
209,20241011,23,50,60,,,,,,,
209,20241011,24,50,60,,,,,,,
209,20241012,1,40,60,,,,,,,
209,20241012,2,50,60,,,,,,,
209,20241012,3,50,80,,,,,,,
209,20241012,4,60,70,,,,,,,
209,20241012,5,50,70,,,,,,,
209,20241012,6,60,70,,,,,,,
209,20241012,7,60,70,,,,,,,
209,20241012,8,60,70,,,,,,,
209,20241012,9,70,80,,,,,,,
209,20241012,10,70,90,,,,,,,
209,20241012,11,70,90,,,,,,,
209,20241012,12,60,80,,,,,,,
209,20241012,13,70,80,,,,,,,
209,20241012,14,70,80,,,,,,,
209,20241012,15,80,100,,,,,,,
209,20241012,16,80,100,,,,,,,
209,20241012,17,90,110,,,,,,,
209,20241012,18,100,120,,,,,,,
209,20241012,19,120,170,,,,,,,
209,20241012,20,140,170,,,,,,,
209,20241012,21,100,170,,,,,,,
209,20241012,22,140,190,,,,,,,
209,20241012,23,150,190,,,,,,,
209,20241012,24,150,200,,,,,,,
209,20241013,1,160,200,,,,,,,
209,20241013,2,160,200,,,,,,,
209,20241013,3,160,220,,,,,,,
209,20241013,4,170,210,,,,,,,
209,20241013,5,160,210,,,,,,,
209,20241013,6,160,210,,,,,,,
209,20241013,7,160,210,,,,,,,
209,20241013,8,150,200,,,,,,,
209,20241013,9,150,190,,,,,,,
209,20241013,10,140,180,,,,,,,
209,20241013,11,120,160,,,,,,,
209,20241013,12,120,150,,,,,,,
209,20241013,13,110,130,,,,,,,
209,20241013,14,100,130,,,,,,,
209,20241013,15,90,130,,,,,,,
209,20241013,16,80,100,,,,,,,
209,20241013,17,60,100,,,,,,,
209,20241013,18,60,80,,,,,,,
209,20241013,19,60,90,,,,,,,
209,20241013,20,60,80,,,,,,,
209,20241013,21,50,70,,,,,,,
209,20241013,22,30,50,,,,,,,
209,20241013,23,20,40,,,,,,,
209,20241013,24,20,50,,,,,,,
209,20241014,1,40,60,,,,,,,
209,20241014,2,20,40,,,,,,,
209,20241014,3,30,50,,,,,,,
209,20241014,4,40,50,,,,,,,
209,20241014,5,40,50,,,,,,,
209,20241014,6,30,50,,,,,,,
209,20241014,7,40,60,,,,,,,
209,20241014,8,40,60,,,,,,,
209,20241014,9,40,50,,,,,,,
209,20241014,10,40,50,,,,,,,
209,20241014,11,40,50,,,,,,,
209,20241014,12,40,60,,,,,,,
209,20241014,13,40,60,,,,,,,
209,20241014,14,30,50,,,,,,,
209,20241014,15,40,70,,,,,,,
209,20241014,16,50,70,,,,,,,
209,20241014,17,50,70,,,,,,,
209,20241014,18,40,60,,,,,,,
209,20241014,19,40,60,,,,,,,
209,20241014,20,40,50,,,,,,,
209,20241014,21,40,50,,,,,,,
209,20241014,22,50,70,,,,,,,
209,20241014,23,50,70,,,,,,,
209,20241014,24,60,80,,,,,,,
209,20241015,1,60,80,,,,,,,
209,20241015,2,60,80,,,,,,,
209,20241015,3,50,60,,,,,,,
209,20241015,4,40,60,,,,,,,
209,20241015,5,50,60,,,,,,,
209,20241015,6,50,70,,,,,,,
209,20241015,7,60,80,,,,,,,
209,20241015,8,70,100,,,,,,,
209,20241015,9,60,90,,,,,,,
209,20241015,10,70,100,,,,,,,
209,20241015,11,70,110,,,,,,,
209,20241015,12,70,90,,,,,,,
209,20241015,13,70,100,,,,,,,
209,20241015,14,70,90,,,,,,,
209,20241015,15,60,90,,,,,,,
209,20241015,16,60,80,,,,,,,
209,20241015,17,70,90,,,,,,,
209,20241015,18,70,100,,,,,,,
209,20241015,19,70,110,,,,,,,
209,20241015,20,70,100,,,,,,,
209,20241015,21,80,120,,,,,,,
209,20241015,22,90,120,,,,,,,
209,20241015,23,90,120,,,,,,,
209,20241015,24,90,120,,,,,,,
209,20241016,1,90,120,,,,,,,
209,20241016,2,90,120,,,,,,,
209,20241016,3,100,130,,,,,,,
209,20241016,4,100,140,,,,,,,
209,20241016,5,100,130,,,,,,,
209,20241016,6,90,120,,,,,,,
209,20241016,7,90,130,,,,,,,
209,20241016,8,90,120,,,,,,,
209,20241016,9,100,130,,,,,,,
209,20241016,10,80,120,,,,,,,
209,20241016,11,90,110,,,,,,,
209,20241016,12,90,120,,,,,,,
209,20241016,13,90,110,,,,,,,
209,20241016,14,90,120,,,,,,,
209,20241016,15,90,120,,,,,,,
209,20241016,16,80,100,,,,,,,
209,20241016,17,70,90,,,,,,,
209,20241016,18,80,100,,,,,,,
209,20241016,19,90,130,,,,,,,
209,20241016,20,100,140,,,,,,,
209,20241016,21,90,120,,,,,,,
209,20241016,22,90,120,,,,,,,
209,20241016,23,100,130,,,,,,,
209,20241016,24,90,120,,,,,,,
209,20241017,1,90,120,,,,,,,
209,20241017,2,90,120,,,,,,,
209,20241017,3,90,110,,,,,,,
209,20241017,4,80,110,,,,,,,
209,20241017,5,90,130,,,,,,,
209,20241017,6,80,100,,,,,,,
209,20241017,7,80,110,,,,,,,
209,20241017,8,70,100,,,,,,,
209,20241017,9,80,110,,,,,,,
209,20241017,10,80,90,,,,,,,
209,20241017,11,70,90,,,,,,,
209,20241017,12,70,90,,,,,,,
209,20241017,13,70,80,,,,,,,
209,20241017,14,70,90,,,,,,,
209,20241017,15,60,90,,,,,,,
209,20241017,16,50,60,,,,,,,
209,20241017,17,50,60,,,,,,,
209,20241017,18,30,50,,,,,,,
209,20241017,19,30,40,,,,,,,
209,20241017,20,20,30,,,,,,,
209,20241017,21,20,30,,,,,,,
209,20241017,22,20,30,,,,,,,
209,20241017,23,30,50,,,,,,,
209,20241017,24,40,50,,,,,,,
209,20241018,1,30,50,,,,,,,
209,20241018,2,10,20,,,,,,,
209,20241018,3,10,20,,,,,,,
209,20241018,4,10,20,,,,,,,
209,20241018,5,20,30,,,,,,,
209,20241018,6,30,50,,,,,,,
209,20241018,7,40,50,,,,,,,
209,20241018,8,50,60,,,,,,,
209,20241018,9,40,50,,,,,,,
209,20241018,10,30,40,,,,,,,
209,20241018,11,20,40,,,,,,,
209,20241018,12,20,30,,,,,,,
209,20241018,13,30,60,,,,,,,
209,20241018,14,50,70,,,,,,,
209,20241018,15,40,60,,,,,,,
209,20241018,16,10,20,,,,,,,
209,20241018,17,10,20,,,,,,,
209,20241018,18,10,20,,,,,,,
209,20241018,19,10,20,,,,,,,
209,20241018,20,20,30,,,,,,,
209,20241018,21,30,40,,,,,,,
209,20241018,22,30,40,,,,,,,
209,20241018,23,30,40,,,,,,,
209,20241018,24,30,40,,,,,,,
209,20241019,1,40,40,,,,,,,
209,20241019,2,30,40,,,,,,,
209,20241019,3,20,40,,,,,,,
209,20241019,4,20,30,,,,,,,
209,20241019,5,30,40,,,,,,,
209,20241019,6,40,50,,,,,,,
209,20241019,7,50,60,,,,,,,
209,20241019,8,50,70,,,,,,,
209,20241019,9,50,70,,,,,,,
209,20241019,10,50,70,,,,,,,
209,20241019,11,60,80,,,,,,,
209,20241019,12,60,80,,,,,,,
209,20241019,13,70,80,,,,,,,
209,20241019,14,60,80,,,,,,,
209,20241019,15,70,90,,,,,,,
209,20241019,16,70,90,,,,,,,
209,20241019,17,80,90,,,,,,,
209,20241019,18,80,90,,,,,,,
209,20241019,19,90,110,,,,,,,
209,20241019,20,80,110,,,,,,,
