code,date,hour,wind,wind_max,temperature,rain_duration,rain,fog,snow,thunder,ice
209,20231101,1,70,120,,,,,,,
209,20231101,2,80,100,,,,,,,
209,20231101,3,80,110,,,,,,,
209,20231101,4,70,90,,,,,,,
209,20231101,5,60,90,,,,,,,
209,20231101,6,70,90,,,,,,,
209,20231101,7,100,140,,,,,,,
209,20231101,8,110,140,,,,,,,
209,20231101,9,100,130,,,,,,,
209,20231101,10,100,130,,,,,,,
209,20231101,11,110,130,,,,,,,
209,20231101,12,110,140,,,,,,,
209,20231101,13,110,140,,,,,,,
209,20231101,14,110,130,,,,,,,
209,20231101,15,110,150,,,,,,,
209,20231101,16,130,170,,,,,,,
209,20231101,17,150,190,,,,,,,
209,20231101,18,140,180,,,,,,,
209,20231101,19,150,200,,,,,,,
209,20231101,20,150,190,,,,,,,
209,20231101,21,140,190,,,,,,,
209,20231101,22,110,140,,,,,,,
209,20231101,23,100,130,,,,,,,
209,20231101,24,100,140,,,,,,,
209,20231102,1,110,140,,,,,,,
209,20231102,2,120,160,,,,,,,
209,20231102,3,120,170,,,,,,,
209,20231102,4,130,180,,,,,,,
209,20231102,5,140,180,,,,,,,
209,20231102,6,140,180,,,,,,,
209,20231102,7,140,190,,,,,,,
209,20231102,8,150,210,,,,,,,
209,20231102,9,140,230,,,,,,,
209,20231102,10,140,200,,,,,,,
209,20231102,11,150,210,,,,,,,
209,20231102,12,160,230,,,,,,,
209,20231102,13,170,250,,,,,,,
209,20231102,14,200,280,,,,,,,
209,20231102,15,220,300,,,,,,,
209,20231102,16,220,290,,,,,,,
209,20231102,17,220,300,,,,,,,
209,20231102,18,210,270,,,,,,,
209,20231102,19,200,260,,,,,,,
209,20231102,20,190,250,,,,,,,
209,20231102,21,180,230,,,,,,,
209,20231102,22,160,210,,,,,,,
209,20231102,23,150,190,,,,,,,
209,20231102,24,130,180,,,,,,,
209,20231103,1,140,190,,,,,,,
209,20231103,2,150,190,,,,,,,
209,20231103,3,140,180,,,,,,,
209,20231103,4,140,180,,,,,,,
209,20231103,5,150,180,,,,,,,
209,20231103,6,150,190,,,,,,,
209,20231103,7,150,190,,,,,,,
209,20231103,8,150,190,,,,,,,
209,20231103,9,150,190,,,,,,,
209,20231103,10,140,190,,,,,,,
209,20231103,11,140,190,,,,,,,
209,20231103,12,140,190,,,,,,,
209,20231103,13,140,190,,,,,,,
209,20231103,14,150,190,,,,,,,
209,20231103,15,150,200,,,,,,,
209,20231103,16,170,220,,,,,,,
209,20231103,17,160,200,,,,,,,
209,20231103,18,160,200,,,,,,,
209,20231103,19,160,200,,,,,,,
209,20231103,20,150,190,,,,,,,
209,20231103,21,140,180,,,,,,,
209,20231103,22,140,170,,,,,,,
209,20231103,23,140,170,,,,,,,
209,20231103,24,130,170,,,,,,,
209,20231104,1,120,150,,,,,,,
209,20231104,2,120,160,,,,,,,
209,20231104,3,120,150,,,,,,,
209,20231104,4,110,140,,,,,,,
209,20231104,5,100,180,,,,,,,
209,20231104,6,110,140,,,,,,,
