code,date,hour,wind,wind_max,temperature,rain_duration,rain,fog,snow,thunder,ice
209,20230201,1,130,180,,,,,,,
209,20230201,2,140,190,,,,,,,
209,20230201,3,140,180,,,,,,,
209,20230201,4,150,200,,,,,,,
209,20230201,5,140,190,,,,,,,
209,20230201,6,150,190,,,,,,,
209,20230201,7,150,190,,,,,,,
209,20230201,8,140,170,,,,,,,
209,20230201,9,140,190,,,,,,,
209,20230201,10,140,190,,,,,,,
209,20230201,11,150,200,,,,,,,
209,20230201,12,150,190,,,,,,,
209,20230201,13,150,200,,,,,,,
209,20230201,14,140,180,,,,,,,
209,20230201,15,140,180,,,,,,,
209,20230201,16,120,160,,,,,,,
209,20230201,17,120,160,,,,,,,
209,20230201,18,120,160,,,,,,,
209,20230201,19,110,140,,,,,,,
209,20230201,20,110,150,,,,,,,
209,20230201,21,110,140,,,,,,,
209,20230201,22,110,140,,,,,,,
209,20230201,23,100,140,,,,,,,
209,20230201,24,100,120,,,,,,,
209,20230202,1,80,110,,,,,,,
209,20230202,2,70,140,,,,,,,
209,20230202,3,110,130,,,,,,,
209,20230202,4,110,140,,,,,,,
209,20230202,5,110,140,,,,,,,
209,20230202,6,110,140,,,,,,,
209,20230202,7,110,130,,,,,,,
209,20230202,8,100,130,,,,,,,
209,20230202,9,90,120,,,,,,,
209,20230202,10,90,120,,,,,,,
209,20230202,11,80,100,,,,,,,
209,20230202,12,80,100,,,,,,,
209,20230202,13,80,100,,,,,,,
209,20230202,14,100,120,,,,,,,
209,20230202,15,100,130,,,,,,,
209,20230202,16,80,110,,,,,,,
209,20230202,17,90,100,,,,,,,
209,20230202,18,80,100,,,,,,,
209,20230202,19,90,110,,,,,,,
209,20230202,20,100,120,,,,,,,
209,20230202,21,100,120,,,,,,,
209,20230202,22,90,110,,,,,,,
209,20230202,23,100,120,,,,,,,
209,20230202,24,100,120,,,,,,,
209,20230203,1,110,140,,,,,,,
209,20230203,2,110,140,,,,,,,
209,20230203,3,120,150,,,,,,,
209,20230203,4,120,160,,,,,,,
209,20230203,5,130,170,,,,,,,
209,20230203,6,130,170,,,,,,,
209,20230203,7,120,150,,,,,,,
209,20230203,8,110,140,,,,,,,
209,20230203,9,110,150,,,,,,,
209,20230203,10,110,140,,,,,,,
209,20230203,11,110,140,,,,,,,
209,20230203,12,110,140,,,,,,,
209,20230203,13,90,130,,,,,,,
209,20230203,14,70,100,,,,,,,
209,20230203,15,60,80,,,,,,,
209,20230203,16,70,80,,,,,,,
209,20230203,17,70,90,,,,,,,
209,20230203,18,70,80,,,,,,,
209,20230203,19,60,80,,,,,,,
209,20230203,20,70,90,,,,,,,
209,20230203,21,60,80,,,,,,,
209,20230203,22,50,70,,,,,,,
209,20230203,23,60,80,,,,,,,
209,20230203,24,50,60,,,,,,,
209,20230204,1,50,60,,,,,,,
209,20230204,2,50,50,,,,,,,
209,20230204,3,40,50,,,,,,,
209,20230204,4,30,40,,,,,,,
209,20230204,5,20,30,,,,,,,
209,20230204,6,20,30,,,,,,,
209,20230204,7,20,30,,,,,,,
209,20230204,8,20,30,,,,,,,
209,20230204,9,20,30,,,,,,,
209,20230204,10,20,30,,,,,,,
209,20230204,11,10,30,,,,,,,
209,20230204,12,10,20,,,,,,,
209,20230204,13,10,10,,,,,,,
209,20230204,14,20,20,,,,,,,
209,20230204,15,20,30,,,,,,,
209,20230204,16,20,20,,,,,,,
209,20230204,17,30,30,,,,,,,
209,20230204,18,30,40,,,,,,,
209,20230204,19,20,40,,,,,,,
209,20230204,20,30,40,,,,,,,
209,20230204,21,30,40,,,,,,,
209,20230204,22,40,50,,,,,,,
209,20230204,23,40,50,,,,,,,
209,20230204,24,40,50,,,,,,,
209,20230205,1,50,60,,,,,,,
209,20230205,2,50,70,,,,,,,
209,20230205,3,80,110,,,,,,,
209,20230205,4,90,150,,,,,,,
209,20230205,5,130,170,,,,,,,
209,20230205,6,130,170,,,,,,,
209,20230205,7,120,150,,,,,,,
209,20230205,8,130,170,,,,,,,
209,20230205,9,130,160,,,,,,,
209,20230205,10,130,160,,,,,,,
209,20230205,11,130,160,,,,,,,
209,20230205,12,120,150,,,,,,,
209,20230205,13,110,140,,,,,,,
209,20230205,14,100,130,,,,,,,
209,20230205,15,100,130,,,,,,,
209,20230205,16,90,120,,,,,,,
209,20230205,17,90,110,,,,,,,
209,20230205,18,80,110,,,,,,,
209,20230205,19,70,100,,,,,,,
209,20230205,20,70,90,,,,,,,
209,20230205,21,50,70,,,,,,,
209,20230205,22,50,60,,,,,,,
209,20230205,23,50,60,,,,,,,
209,20230205,24,50,60,,,,,,,
209,20230206,1,40,60,,,,,,,
209,20230206,2,40,50,,,,,,,
209,20230206,3,30,40,,,,,,,
209,20230206,4,20,40,,,,,,,
209,20230206,5,20,30,,,,,,,
209,20230206,6,20,40,,,,,,,
209,20230206,7,20,30,,,,,,,
209,20230206,8,10,20,,,,,,,
209,20230206,9,20,30,,,,,,,
209,20230206,10,20,30,,,,,,,
209,20230206,11,30,30,,,,,,,
209,20230206,12,20,20,,,,,,,
209,20230206,13,10,20,,,,,,,
209,20230206,14,30,40,,,,,,,
209,20230206,15,40,50,,,,,,,
209,20230206,16,40,60,,,,,,,
209,20230206,17,40,50,,,,,,,
209,20230206,18,20,40,,,,,,,
209,20230206,19,20,30,,,,,,,
209,20230206,20,30,50,,,,,,,
209,20230206,21,30,40,,,,,,,
209,20230206,22,30,40,,,,,,,
209,20230206,23,20,40,,,,,,,
209,20230206,24,30,40,,,,,,,
209,20230207,1,30,40,,,,,,,
209,20230207,2,30,40,,,,,,,
209,20230207,3,30,40,,,,,,,
209,20230207,4,30,50,,,,,,,
209,20230207,5,30,40,,,,,,,
209,20230207,6,40,50,,,,,,,
209,20230207,7,30,50,,,,,,,
209,20230207,8,40,50,,,,,,,
209,20230207,9,40,50,,,,,,,
209,20230207,10,40,50,,,,,,,
209,20230207,11,30,50,,,,,,,
209,20230207,12,30,40,,,,,,,
209,20230207,13,40,40,,,,,,,
209,20230207,14,30,40,,,,,,,
209,20230207,15,20,30,,,,,,,
209,20230207,16,30,40,,,,,,,
209,20230207,17,30,40,,,,,,,
209,20230207,18,20,40,,,,,,,
209,20230207,19,20,30,,,,,,,
209,20230207,20,20,40,,,,,,,
209,20230207,21,20,30,,,,,,,
209,20230207,22,30,40,,,,,,,
209,20230207,23,20,30,,,,,,,
209,20230207,24,20,30,,,,,,,
209,20230208,1,30,40,,,,,,,
209,20230208,2,30,50,,,,,,,
209,20230208,3,40,60,,,,,,,
209,20230208,4,40,50,,,,,,,
209,20230208,5,30,50,,,,,,,
209,20230208,6,40,50,,,,,,,
209,20230208,7,40,50,,,,,,,
209,20230208,8,40,60,,,,,,,
209,20230208,9,50,70,,,,,,,
209,20230208,10,40,50,,,,,,,
209,20230208,11,40,50,,,,,,,
209,20230208,12,40,60,,,,,,,
209,20230208,13,50,60,,,,,,,
209,20230208,14,40,50,,,,,,,
209,20230208,15,50,60,,,,,,,
209,20230208,16,50,70,,,,,,,
209,20230208,17,60,70,,,,,,,
209,20230208,18,50,70,,,,,,,
209,20230208,19,40,60,,,,,,,
209,20230208,20,40,60,,,,,,,
209,20230208,21,50,60,,,,,,,
209,20230208,22,50,60,,,,,,,
209,20230208,23,60,70,,,,,,,
209,20230208,24,70,80,,,,,,,
209,20230209,1,70,80,,,,,,,
209,20230209,2,70,90,,,,,,,
209,20230209,3,70,90,,,,,,,
209,20230209,4,90,110,,,,,,,
209,20230209,5,90,110,,,,,,,
209,20230209,6,90,110,,,,,,,
209,20230209,7,90,120,,,,,,,
209,20230209,8,90,110,,,,,,,
209,20230209,9,90,100,,,,,,,
209,20230209,10,80,100,,,,,,,
209,20230209,11,80,90,,,,,,,
209,20230209,12,60,80,,,,,,,
209,20230209,13,50,70,,,,,,,
209,20230209,14,40,70,,,,,,,
209,20230209,15,40,50,,,,,,,
209,20230209,16,40,50,,,,,,,
209,20230209,17,50,60,,,,,,,
209,20230209,18,50,60,,,,,,,
209,20230209,19,40,60,,,,,,,
209,20230209,20,40,50,,,,,,,
209,20230209,21,50,60,,,,,,,
209,20230209,22,40,60,,,,,,,
209,20230209,23,50,60,,,,,,,
209,20230209,24,60,70,,,,,,,
209,20230210,1,60,70,,,,,,,
209,20230210,2,60,70,,,,,,,
209,20230210,3,50,70,,,,,,,
209,20230210,4,60,70,,,,,,,
209,20230210,5,50,70,,,,,,,
209,20230210,6,50,60,,,,,,,
209,20230210,7,50,60,,,,,,,
209,20230210,8,60,70,,,,,,,
209,20230210,9,60,70,,,,,,,
209,20230210,10,70,80,,,,,,,
209,20230210,11,70,90,,,,,,,
209,20230210,12,80,100,,,,,,,
209,20230210,13,80,100,,,,,,,
209,20230210,14,80,100,,,,,,,
209,20230210,15,70,90,,,,,,,
209,20230210,16,90,110,,,,,,,
209,20230210,17,100,120,,,,,,,
209,20230210,18,90,120,,,,,,,
