code,date,hour,wind,wind_max,temperature,rain_duration,rain,fog,snow,thunder,ice
209,20231201,1,60,80,,,,,,,
209,20231201,2,50,80,,,,,,,
209,20231201,3,50,80,,,,,,,
209,20231201,4,50,80,,,,,,,
209,20231201,5,60,90,,,,,,,
209,20231201,6,60,90,,,,,,,
209,20231201,7,50,70,,,,,,,
209,20231201,8,50,60,,,,,,,
209,20231201,9,50,60,,,,,,,
209,20231201,10,40,60,,,,,,,
209,20231201,11,40,60,,,,,,,
209,20231201,12,30,50,,,,,,,
209,20231201,13,40,70,,,,,,,
209,20231201,14,60,80,,,,,,,
209,20231201,15,50,70,,,,,,,
209,20231201,16,40,60,,,,,,,
209,20231201,17,50,70,,,,,,,
209,20231201,18,50,60,,,,,,,
209,20231201,19,40,60,,,,,,,
209,20231201,20,30,50,,,,,,,
209,20231201,21,20,30,,,,,,,
209,20231201,22,10,20,,,,,,,
209,20231201,23,10,20,,,,,,,
209,20231201,24,20,30,,,,,,,
209,20231202,1,30,50,,,,,,,
209,20231202,2,40,50,,,,,,,
209,20231202,3,40,60,,,,,,,
209,20231202,4,30,50,,,,,,,
209,20231202,5,40,60,,,,,,,
209,20231202,6,40,60,,,,,,,
209,20231202,7,40,50,,,,,,,
209,20231202,8,40,50,,,,,,,
209,20231202,9,40,50,,,,,,,
209,20231202,10,40,60,,,,,,,
209,20231202,11,40,50,,,,,,,
209,20231202,12,20,40,,,,,,,
209,20231202,13,30,40,,,,,,,
209,20231202,14,20,50,,,,,,,
209,20231202,15,50,90,,,,,,,
209,20231202,16,60,110,,,,,,,
209,20231202,17,40,60,,,,,,,
209,20231202,18,60,90,,,,,,,
209,20231202,19,60,80,,,,,,,
209,20231202,20,60,90,,,,,,,
209,20231202,21,50,80,,,,,,,
209,20231202,22,40,70,,,,,,,
209,20231202,23,60,100,,,,,,,
209,20231202,24,70,100,,,,,,,
209,20231203,1,60,80,,,,,,,
209,20231203,2,70,90,,,,,,,
209,20231203,3,60,90,,,,,,,
209,20231203,4,80,100,,,,,,,
209,20231203,5,70,90,,,,,,,
209,20231203,6,70,80,,,,,,,
209,20231203,7,80,90,,,,,,,
209,20231203,8,70,90,,,,,,,
209,20231203,9,80,110,,,,,,,
209,20231203,10,80,110,,,,,,,
209,20231203,11,90,110,,,,,,,
209,20231203,12,90,120,,,,,,,
209,20231203,13,90,120,,,,,,,
209,20231203,14,90,110,,,,,,,
209,20231203,15,90,120,,,,,,,
209,20231203,16,90,120,,,,,,,
209,20231203,17,100,130,,,,,,,
209,20231203,18,100,130,,,,,,,
209,20231203,19,110,140,,,,,,,
209,20231203,20,110,130,,,,,,,
209,20231203,21,100,130,,,,,,,
209,20231203,22,90,120,,,,,,,
209,20231203,23,90,130,,,,,,,
209,20231203,24,90,120,,,,,,,
209,20231204,1,90,110,,,,,,,
209,20231204,2,90,120,,,,,,,
209,20231204,3,90,130,,,,,,,
209,20231204,4,90,120,,,,,,,
209,20231204,5,90,120,,,,,,,
209,20231204,6,90,120,,,,,,,
209,20231204,7,100,120,,,,,,,
209,20231204,8,100,130,,,,,,,
209,20231204,9,110,140,,,,,,,
209,20231204,10,100,140,,,,,,,
209,20231204,11,90,120,,,,,,,
209,20231204,12,90,120,,,,,,,
209,20231204,13,90,120,,,,,,,
209,20231204,14,90,120,,,,,,,
209,20231204,15,80,110,,,,,,,
209,20231204,16,80,110,,,,,,,
209,20231204,17,70,100,,,,,,,
209,20231204,18,70,100,,,,,,,
209,20231204,19,70,90,,,,,,,
209,20231204,20,70,100,,,,,,,
209,20231204,21,80,100,,,,,,,
209,20231204,22,80,110,,,,,,,
209,20231204,23,80,110,,,,,,,
209,20231204,24,80,110,,,,,,,
209,20231205,1,80,110,,,,,,,
209,20231205,2,80,110,,,,,,,
209,20231205,3,90,120,,,,,,,
209,20231205,4,90,120,,,,,,,
209,20231205,5,80,110,,,,,,,
209,20231205,6,80,100,,,,,,,
209,20231205,7,80,100,,,,,,,
209,20231205,8,80,100,,,,,,,
209,20231205,9,70,100,,,,,,,
