code,start,end,wind,wind_max,temperature,rain,rain_duration,fog,thunder,snow,ice
235,2023-01-01 02:00:00,2023-01-01 03:00:00,12.0,20.0,10.6,0.2,48.0,False,False,False,False
240,2023-01-01 02:00:00,2023-01-01 03:00:00,12.0,18.0,14.3,0.0,0.0,False,False,False,False
249,2023-01-01 02:00:00,2023-01-01 03:00:00,14.0,21.0,13.2,0.05,0.0,False,False,False,False
251,2023-01-01 02:00:00,2023-01-01 03:00:00,13.0,17.0,10.3,0.05,0.0,False,False,False,False
260,2023-01-01 02:00:00,2023-01-01 03:00:00,8.0,17.0,14.9,0.0,0.0,False,False,False,False
267,2023-01-01 02:00:00,2023-01-01 03:00:00,13.0,19.0,10.2,1.6,48.0,False,False,False,False
269,2023-01-01 02:00:00,2023-01-01 03:00:00,11.0,17.0,14.1,0.0,0.0,False,False,False,False
270,2023-01-01 02:00:00,2023-01-01 03:00:00,12.0,20.0,11.9,0.3,24.0,False,False,False,False
273,2023-01-01 02:00:00,2023-01-01 03:00:00,8.0,13.0,13.4,0.05,0.0,False,False,False,False
275,2023-01-01 02:00:00,2023-01-01 03:00:00,9.0,14.0,15.0,0.05,0.0,False,False,False,False
279,2023-01-01 02:00:00,2023-01-01 03:00:00,8.0,14.0,14.1,0.1,24.0,False,False,False,False
280,2023-01-01 02:00:00,2023-01-01 03:00:00,10.0,15.0,13.2,0.1,48.0,False,False,False,False
290,2023-01-01 02:00:00,2023-01-01 03:00:00,7.0,16.0,14.4,0.05,0.0,False,False,False,False
310,2023-01-01 02:00:00,2023-01-01 03:00:00,14.0,17.0,12.6,0.0,0.0,False,False,False,False
319,2023-01-01 02:00:00,2023-01-01 03:00:00,9.0,15.0,14.2,0.0,0.0,False,False,False,False
340,2023-01-01 02:00:00,2023-01-01 03:00:00,8.0,14.0,14.6,0.0,0.0,False,False,False,False
344,2023-01-01 02:00:00,2023-01-01 03:00:00,10.0,18.0,14.1,0.0,0.0,False,False,False,False
348,2023-01-01 02:00:00,2023-01-01 03:00:00,11.0,17.0,14.2,0.0,0.0,False,False,False,False
