,from,to
330,WAD,WADN
331,WADN,BSKS
332,BSKS,BSK
333,BSK,APN
334,APN,BDG
335,BDG,WD
336,WD,BKL
337,BKL,MAS
338,MAS,UTZL
339,UTZL,UT
340,APN,LDL
341,LDL,LEDN
342,LEDN,DVNK
343,DVNK,VST
344,VST,GVM
345,GVM,LAA
346,LAA,GVC
347,GVC,GV
348,LAA,GV
349,GV,GVMW
350,GVMW,RSW
351,RSW,DT
352,DT,DTCP
353,DTCP,SDM
354,SDM,RTD
355,GVC,VB
356,VB,YPB
357,YPB,ZTM
358,ZTM,ZTMO
359,ZTMO,LLZM
360,LLZM,GD
361,RTD,HFD
362,NVP,SSH
363,SSH,LEDN
364,LEDN,VH
365,VH,HIL
366,HIL,HAD
367,HAD,HLM
368,HLM,OVN
369,OVN,ZVT
370,HLM,HLMS
371,HLMS,HWZB
372,HWZB,ASS
373,ASS,ASD
374,ASS,ASDL
375,ASDL,SHL
376,SHL,HFD
377,HFD,NVP
378,SHL,ASDZ
379,ASDZ,RAI
380,RAI,DVD
381,DVD,ASB
382,ASB,ASHD
383,ASHD,AC
384,AC,BKL
385,DVD,DMNZ
386,DMNZ,DMN
387,DMN,WP
388,DMN,ASSP
389,ASSP,ASDM
390,ASDM,ASD
391,DVD,ASA
392,ASA,ASDM
393,ASS,ZD
394,ZD,KZ
395,KZ,ZZS
396,ZZS,WM
397,WM,KMA
398,KMA,UTG
399,ZD,ZDK
400,ZDK,PMW
401,PMW,PMR
402,PMR,PMO
403,PMO,HN
404,HN,HNK
405,HNK,HKS
406,HKS,BKG
407,BKG,BKF
408,BKF,EKZ
409,HN,OBD
410,OBD,HWD
411,HWD,AMRN
412,AMRN,AMR
413,AMR,HLO
414,HLO,CAS
415,CAS,UTG
416,UTG,HK
417,HK,BV
418,BV,DRH
419,DRH,SPTN
420,SPTN,SPTZ
421,SPTZ,BLL
422,BLL,HLM
423,HWD,SGN
424,SGN,ANA
425,ANA,HDRZ
426,HDRZ,HDR
