code,name,lat,lng
EDC,Ede Centrum,52.043609619141,5.668333530426
ED,Ede-Wageningen,52.027778625488,5.6730556488037
EEM,Eemshaven,53.458419,6.832
EDN,Eijsden,50.771945953369,5.710000038147
EHV,Eindhoven Centraal,51.443332672119,5.4813890457153
EHS,Eindhoven Strijp-S,51.451110839844,5.4558334350586
EST,Elst,51.916942596435,5.8550000190735
EMN,Emmen,52.790000915527,6.8994445800781
EMNZ,Emmen Zuid,52.748866374691,6.8747806549072
EKZ,Enkhuizen,52.699165344238,5.286388874054
ES,Enschede,52.222499847412,6.8899998664856
ESE,Enschede De Eschmarke,52.221389770508,6.9511113166809
ESK,Enschede Kennispark,52.23749923706,6.8388891220093
EML,Ermelo,52.301666259766,5.6147222518921
ETN,Etten-Leur,51.57500076294,4.6358332633972
EGH,Eygelshoven,50.890556335449,6.0450000762939
EGHM,Eygelshoven Markt,50.896049819644,6.0602474212646
FWD,Feanwâlden,53.2351834,5.9886615
FN,Franeker,53.1824488,5.5483094
GDR,Gaanderen,51.93074,6.3486
GDM,Geldermalsen,51.88301,5.27127
GP,Geldrop,51.419723510742,5.5505557060242
GLN,Geleen Oost,50.966945648193,5.8430557250977
LUT,Geleen-Lutterade,50.975555419922,5.8247222900391
GZ,Gilze-Rijen,51.583610534668,4.9261112213135
GBR,Glanerbrug,52.218612670898,6.9744443893433
GS,Goes,51.498054504395,3.8905556201935
GO,Goor,52.230278015137,6.5844445228577
GR,Gorinchem,51.833889007568,4.9683332443237
GD,Gouda,52.017501831055,4.7044444084167
GDG,Gouda Goverwelle,52.014999389648,4.7408332824707
GBG,Gramsbergen,52.60916519165,6.6758332252502
GK,Grijpskerk,53.255740325573,6.3097786903381
GN,Groningen,53.210556030273,6.5647220611572
GERP,Groningen Europapark,53.20480027,6.5854178
GNN,Groningen Noord,53.2301469,6.5563172
GW,Grou-Jirnsum,53.088890075684,5.8225002288818
HLM,Haarlem,52.38777923584,4.6383333206177
HLMS,Haarlem Spaarnwoude,52.382778167725,4.6730556488037
HWZB,Halfweg-Zwanenburg,52.385935,4.747165
HDB,Hardenberg,52.572776794434,6.6286110877991
HD,Harderwijk,52.337501525879,5.619722366333
HBZM,Hardinxveld Blauwe Zoom,51.82944,4.81556
GND,Hardinxveld-Giessendam,51.830554962158,4.8358335494995
HRN,Haren,53.176109313965,6.6172223091125
HLG,Harlingen,53.1704205,5.4251932
HLGH,Harlingen Haven,53.174917,5.4112885
HK,Heemskerk,52.495277404785,4.6869444847107
HAD,Heemstede-Aerdenhout,52.35916519165,4.6066665649414
HR,Heerenveen,52.961387634277,5.9141664505005
HRY,Heerenveen IJsstadion,52.935276031494,5.9438886642456
HWD,Heerhugowaard,52.669723510742,4.8227777481079
HRL,Heerlen,50.89083480835,5.9749999046326
HRLW,Heerlen Woonboulevard,50.896667,5.952222
HZE,Heeze,51.384998321533,5.5694446563721
HLO,Heiloo,52.599445343018,4.7005553245544
HNO,Heino,52.427223205566,6.2211112976074
HM,Helmond,51.475555419922,5.6619443893433
HMH,Helmond 't Hout,51.46794,5.63085
HMBV,Helmond Brandevoort,51.462223052979,5.6072220802307
HMBH,Helmond Brouwhuis,51.47068,5.70177
HMN,Hemmen-Dodewaard,51.9222129,5.6737254
HGL,Hengelo,52.261665344238,6.7938890457153
HGLG,Hengelo Gezondheidspark,52.261667,6.767778
HGLO,Hengelo Oost,52.268890380859,6.8194446563721
HIL,Hillegom,52.302501678467,4.5655555725098
HVS,Hilversum,52.225833892822,5.1819443702698
HVSM,Hilversum Media Park,52.238056182861,5.1738886833191
HVSP,Hilversum Sportpark,52.216110229492,5.1872220039368
HNP,Hindeloopen,52.9464903,5.423063
HB,Hoensbroek,50.905555725098,5.9305553436279
HVL,Hoevelaken,52.16652,5.45718
HOR,Hollandsche Rading,52.17777633667,5.1791667938232
HON,Holten,52.283889770508,6.42027759552
HFD,Hoofddorp,52.293334960938,4.7005553245544
HGV,Hoogeveen,52.733890533447,6.4736108779907
HGZ,Hoogezand-Sappemeer,53.159818131676,6.7707538604736
HKS,Hoogkarspel,52.69055557251,5.1838889122009
HN,Hoorn,52.644721984863,5.0555553436279
HNK,Hoorn Kersenboogerd,52.653610229492,5.0855555534363
HRT,Horst-Sevenum,51.426387786865,6.0422220230103
HTN,Houten,52.03402,5.16821
HTNC,Houten Castellum,52.01701,5.17949
SGL,Houthem-St. Gerlach,50.873332977295,5.7972221374512
HDG,Hurdegaryp,53.2187783,5.934543
