gcn_hidden,rnn_hidden,lr,best_val_loss,test_loss,best_epoch
32,32,0.005,79.58535329719567,88.56023618219847,1
64,64,0.001,79.63786816524075,80.86163179235287,43
32,32,0.001,79.7210456643265,79.61239123811205,44
64,64,0.005,79.7718357487556,91.22195771228836,9
128,128,0.005,79.78160441158744,79.2467126435185,0
64,64,0.01,79.8117195056119,79.07600266261991,18
32,32,0.01,79.8225680677169,79.04241537437382,9
128,128,0.001,79.8630075478408,78.2031923431948,45
128,128,0.01,80.04348905580488,79.17737372129797,11
